Département,Code Postal,Ville,Agence d'Intervention,Actif
2,02000,Braye-en-Laonnois,Marseile,Oui
2,02140,Braye-en-Thiérache,Marseile,Oui
2,02480,Bray-Saint-Christophe,Marseile,Oui
2,02880,Braye,Marseile,Oui
2,02210,Brécy,Marseile,Oui
2,02220,Brenelle,Marseile,Oui
2,02210,Breny,Marseile,Oui
2,02870,Brie,Marseile,Oui
2,02240,Brissay-Choigny,Marseile,Oui
2,02240,Brissy-Hamégicourt,Marseile,Oui
2,02810,Brumetz,Marseile,Oui
2,02360,Brunehamel,Marseile,Oui
2,02130,Bruyères-sur-Fère,Marseile,Oui
2,02860,Bruyères-et-Montbérault,Marseile,Oui
2,02220,Bruys,Marseile,Oui
2,02500,Bucilly,Marseile,Oui
2,02880,Bucy-le-Long,Marseile,Oui
2,02870,Bucy-lès-Cerny,Marseile,Oui
2,02350,Bucy-lès-Pierrepont,Marseile,Oui
2,02500,Buire,Marseile,Oui
2,02620,Buironfosse,Marseile,Oui
2,02140,Burelles,Marseile,Oui
2,02810,Bussiares,Marseile,Oui
2,02200,Buzancy,Marseile,Oui
2,02300,Caillouël-Crépigny,Marseile,Oui
2,02300,Camelin,Marseile,Oui
2,02260,La Capelle,Marseile,Oui
2,02680,Castres,Marseile,Oui
2,02420,Le Catelet,Marseile,Oui
2,02490,Caulaincourt,Marseile,Oui
2,02300,Caumont,Marseile,Oui
2,02330,Celles-lès-Condé,Marseile,Oui
2,02370,Celles-sur-Aisne,Marseile,Oui
2,02240,Cerizy,Marseile,Oui
2,02860,Cerny-en-Laonnois,Marseile,Oui
2,02870,Cerny-lès-Bucy,Marseile,Oui
2,02220,Cerseuil,Marseile,Oui
2,02320,Cessières-Suzy,Marseile,Oui
2,02200,Chacrise,Marseile,Oui
2,02000,Chaillevois,Marseile,Oui
2,02270,Chalandry,Marseile,Oui
2,02000,Chambry,Marseile,Oui
2,02860,Chamouille,Marseile,Oui
2,02670,Champs,Marseile,Oui
2,02340,Chaourse,Marseile,Oui
2,02570,La Chapelle-sur-Chézy,Marseile,Oui
2,02310,Charly-sur-Marne,Marseile,Oui
2,02850,Le Charmel,Marseile,Oui
2,02800,Charmes,Marseile,Oui
2,02400,Chartèves,Marseile,Oui
2,02370,Chassemy,Marseile,Oui
2,02400,Château-Thierry,Marseile,Oui
2,02270,Châtillon-lès-Sons,Marseile,Oui
2,02240,Châtillon-sur-Oise,Marseile,Oui
2,02160,Chaudardes,Marseile,Oui
2,02200,Chaudun,Marseile,Oui
2,02300,Chauny,Marseile,Oui
2,02000,Chavignon,Marseile,Oui
2,02880,Chavigny,Marseile,Oui
2,02370,Chavonne,Marseile,Oui
2,02860,Chérêt,Marseile,Oui
2,02860,Chermizy-Ailles,Marseile,Oui
2,02220,Chéry-Chartreuve,Marseile,Oui
2,02000,Chéry-lès-Pouilly,Marseile,Oui
2,02360,Chéry-lès-Rozoy,Marseile,Oui
2,02250,Chevennes,Marseile,Oui
2,02000,Chevregny,Marseile,Oui
2,02270,Chevresis-Monceau,Marseile,Oui
2,02810,Chézy-en-Orxois,Marseile,Oui
2,02570,Chézy-sur-Marne,Marseile,Oui
2,02400,Chierry,Marseile,Oui
2,02120,Chigny,Marseile,Oui
2,02350,Chivres-en-Laonnois,Marseile,Oui
2,02880,Chivres-Val,Marseile,Oui
2,02000,Chivy-lès-Étouvelles,Marseile,Oui
2,02210,Chouy,Marseile,Oui
2,02130,Cierges,Marseile,Oui
2,02250,Cilly,Marseile,Oui
2,02220,Ciry-Salsogne,Marseile,Oui
2,02000,Clacy-et-Thierret,Marseile,Oui
2,02260,Clairfontaine,Marseile,Oui
2,02880,Clamecy,Marseile,Oui
2,02440,Clastres,Marseile,Oui
2,02340,Clermont-les-Fermes,Marseile,Oui
2,02600,Cœuvres-et-Valsery,Marseile,Oui
2,02210,Coincy,Marseile,Oui
2,02360,Coingt,Marseile,Oui
2,02860,Colligis-Crandelain,Marseile,Oui
2,02120,Colonfay,Marseile,Oui
2,02300,Commenchon,Marseile,Oui
2,02160,Concevreux,Marseile,Oui
2,02330,Condé-en-Brie,Marseile,Oui
2,02370,Condé-sur-Aisne,Marseile,Oui
2,02190,Condé-sur-Suippe,Marseile,Oui
2,02700,Condren,Marseile,Oui
2,02330,Connigis,Marseile,Oui
2,02680,Contescourt,Marseile,Oui
2,02820,Corbeny,Marseile,Oui
2,02600,Corcy,Marseile,Oui
2,02380,Coucy-le-Château-Auffrique,Marseile,Oui
2,02840,Coucy-lès-Eppes,Marseile,Oui
2,02380,Coucy-la-Ville,Marseile,Oui
2,02130,Coulonges-Cohan,Marseile,Oui
2,02310,Coupru,Marseile,Oui
2,02800,Courbes,Marseile,Oui
2,02330,Courboin,Marseile,Oui
2,02220,Courcelles-sur-Vesle,Marseile,Oui
2,02810,Courchamps,Marseile,Oui
2,02200,Courmelles,Marseile,Oui
2,02130,Courmont,Marseile,Oui
2,02850,Courtemont-Varennes,Marseile,Oui
2,02820,Courtrizy-et-Fussigny,Marseile,Oui
2,02220,Couvrelles,Marseile,Oui
2,02270,Couvron-et-Aumencourt,Marseile,Oui
2,02600,Coyolles,Marseile,Oui
2,02130,Cramaille,Marseile,Oui
2,02160,Craonne,Marseile,Oui
2,02160,Craonnelle,Marseile,Oui
2,02380,Crécy-au-Mont,Marseile,Oui
